property_id,address,latitude,longitude,driveway_ids
house_1745685603464_6796,29 Pine Ln,-37.802440343403326,144.94951115939335,driveway_1745685589222_9139
house_1745685603464_3990,30 Main St,-37.816284512538445,144.9679480014001,driveway_1745685589223_2588
house_1745685603464_9679,31 Main St,-37.81438110705788,144.96176914955296,driveway_1745685589223_6774
house_1745685603464_8846,32 Pine Ln,-37.804996196108455,144.9580552771197,driveway_1745685589223_4832
house_1745685603464_6291,33 Oak Ave,-37.814444666180734,144.96402636016205,driveway_1745685589222_9182
house_1745685603464_5287,34 Maple Pde,-37.80139523419372,144.9480034668233,driveway_1745685589222_4130
house_1745685603464_5208,35 Main St,-37.80815021388729,144.9644011153778,driveway_1745685589223_5873
house_1745685603464_3962,36 Maple Pde,-37.80977648852646,144.95750980646253,driveway_1745685589223_4443
house_1745685603464_7282,37 Maple Pde,-37.803667080544926,144.94993972136825,driveway_1745685589222_5785
house_1745685603464_4426,38 Elm Cres,-37.800299490336734,144.95406662766118,driveway_1745685589222_1053
house_1745685603464_5064,39 Maple Pde,-37.81339340624545,144.95491246748108,driveway_1745685589223_5193
house_1745685603464_8842,40 Pine Ln,-37.801373289141196,144.95317115005395,driveway_1745685589223_4649
house_1745685603464_8765,41 Oak Ave,-37.803190681627584,144.94985310028852,driveway_1745685589223_2839
house_1745685603464_7443,42 Elm Cres,-37.80206395716715,144.9503553702708,driveway_1745685589223_5258
house_1745685603464_7820,43 Elm Cres,-37.80534824905093,144.9706215452777,driveway_1745685589223_4653
house_1745685603464_5063,44 Pine Ln,-37.81297981392791,144.95881171597875,driveway_1745685589223_8979
house_1745685603464_5905,45 Elm Cres,-37.803133476693745,144.9494954534199,driveway_1745685589223_9212
house_1745685603464_2770,46 Main St,-37.8105328111447,144.96648469878747,driveway_1745685589222_1995
house_1745685603464_4213,47 Maple Pde,-37.8004698638085,144.9498741390101,driveway_1745685589222_1051
house_1745685603464_1931,48 Pine Ln,-37.813171480585915,144.9565677215613,driveway_1745685589222_9115
house_1745685603464_6880,49 Maple Pde,-37.81613155927266,144.95887918152383,driveway_1745685589222_4071
house_1745685603464_6696,50 Main St,-37.80464917657815,144.9487207916922,driveway_1745685589222_2233
house_1745685603464_9603,51 Oak Ave,-37.81814782399626,144.9485406624679,driveway_1745685589223_9952
house_1745685603464_2354,52 Pine Ln,-37.803582375953,144.95892083317406,driveway_1745685589222_9482
house_1745685603464_2912,53 Maple Pde,-37.80274504344703,144.9601290886212,driveway_1745685589223_8373
house_1745685603464_1829,54 Elm Cres,-37.81229903062218,144.94756130905068,driveway_1745685589223_9641
house_1745685603464_8456,55 Elm Cres,-37.80529017091432,144.94897166301675,driveway_1745685589223_3521
house_1745685603464_6961,56 Maple Pde,-37.804591341657655,144.95570091670325,driveway_1745685589223_7154
house_1745685603464_1724,57 Main St,-37.80020516552022,144.9598068704334,driveway_1745685589222_3328
house_1745685603464_6913,58 Maple Pde,-37.80254340279749,144.96116395050237,driveway_1745685589222_8006
house_1745685603464_7712,59 Maple Pde,-37.81403829145345,144.95396086533842,driveway_1745685589223_5249
house_1745685603464_2631,60 Main St,-37.803267071255576,144.9744235103925,driveway_1745685589223_3852
house_1745685603464_8314,61 Elm Cres,-37.81036362832452,144.97146614064513,driveway_1745685589222_8916
house_1745685603464_3766,62 Pine Ln,-37.80299591072875,144.95915952199718,driveway_1745685589222_4932
house_1745685603464_5487,63 Elm Cres,-37.81043340700631,144.95577543777756,driveway_1745685589222_7644
house_1745685603464_8366,64 Elm Cres,-37.809331158641136,144.96405437448934,driveway_1745685589222_3129
house_1745685603464_8331,65 Oak Ave,-37.819046500586104,144.96626377508332,driveway_1745685589223_6740
house_1745685603465_9458,66 Main St,-37.81680194121726,144.96443253941183,driveway_1745685589223_9010
house_1745685603465_2765,67 Elm Cres,-37.81315926101883,144.9589743326186,driveway_1745685589223_2569
house_1745685603465_6145,68 Maple Pde,-37.81907698075504,144.9659821515121,driveway_1745685589222_7226
house_1745685603465_4863,69 Main St,-37.811194853239016,144.96126541989054,driveway_1745685589223_5200
house_1745685603465_8530,70 Oak Ave,-37.8057519928323,144.9553019606513,driveway_1745685589223_7296
house_1745685603465_8374,71 Pine Ln,-37.803786623118135,144.9543176725159,driveway_1745685589222_2529
house_1745685603465_7308,72 Pine Ln,-37.812907025365,144.95361410129655,driveway_1745685589223_1894
house_1745685603465_3137,73 Main St,-37.81202879308234,144.9660378439244,driveway_1745685589223_7135
house_1745685603465_2942,74 Pine Ln,-37.816868171519,144.97141714866822,driveway_1745685589222_3927
house_1745685603465_2608,75 Maple Pde,-37.80877138864752,144.9542930331819,driveway_1745685589223_9844
house_1745685603465_5071,76 Oak Ave,-37.79955936276469,144.9572795804784,driveway_1745685589223_6186
house_1745685603465_4563,77 Oak Ave,-37.81167735945718,144.9644359079134,driveway_1745685589222_4302
house_1745685603465_6664,78 Main St,-37.815155501954784,144.95268266205892,driveway_1745685589223_2692
house_1745685603465_4029,79 Maple Pde,-37.82022859573942,144.96271004833824,driveway_1745685589223_7445
house_1745685603465_9065,80 Elm Cres,-37.80082980451808,144.96639329469082,driveway_1745685589223_2023
house_1745685603465_1557,81 Elm Cres,-37.801137316150935,144.97504528877056,driveway_1745685589222_3722
house_1745685603465_8012,82 Pine Ln,-37.80994349312967,144.95095679019377,driveway_1745685589223_8210
house_1745685603465_1626,83 Oak Ave,-37.81501042027764,144.94710208590118,driveway_1745685589222_1935
house_1745685603465_4807,84 Elm Cres,-37.802119431063495,144.953749444477,driveway_1745685589223_2541
house_1745685603465_8638,85 Elm Cres,-37.81941337195739,144.96620734779935,driveway_1745685589223_4547
house_1745685603465_3787,86 Main St,-37.80320897813729,144.95540936036085,driveway_1745685589223_7828
house_1745685603465_7105,87 Main St,-37.81128687274129,144.94705513995322,driveway_1745685589222_8417
house_1745685603465_8769,88 Oak Ave,-37.8006198319645,144.9751500456517,driveway_1745685589222_2735
house_1745685603465_6619,89 Oak Ave,-37.80723547996358,144.97353452063678,driveway_1745685589222_4669
house_1745685603466_2571,90 Pine Ln,-37.80301287121003,144.95883140511418,driveway_1745685589222_3868
house_1745685603466_8510,91 Maple Pde,-37.80751132875022,144.9660703846353,driveway_1745685589223_9175
house_1745685603466_2243,92 Maple Pde,-37.802204130256115,144.96843794935208,driveway_1745685589223_9814
house_1745685603466_8331,93 Main St,-37.807886799185304,144.96580813866333,driveway_1745685589223_9470
house_1745685603466_7005,94 Maple Pde,-37.81447112228498,144.9573155030286,driveway_1745685589222_1912
house_1745685603466_4751,95 Pine Ln,-37.815835260391815,144.97197941447902,driveway_1745685589223_3903
house_1745685603466_4293,96 Oak Ave,-37.81902852243157,144.9518492692998,driveway_1745685589223_6305
house_1745685603466_7695,97 Elm Cres,-37.80626376039484,144.96645424415246,driveway_1745685589222_4334
house_1745685603466_6340,98 Oak Ave,-37.8064146154257,144.96723855107078,driveway_1745685589223_8491
house_1745685603466_1110,99 Pine Ln,-37.816679044057466,144.96674772685685,driveway_1745685589223_8116
house_1745685603466_1751,100 Main St,-37.801388317928904,144.95995928143967,driveway_1745685589223_5868
